,eng,mar,eng_layer_1,mar_layer_1,eng_layer_8,mar_layer_8,eng_layer_16,mar_layer_16,eng_layer_24,mar_layer_24,eng_layer_30,mar_layer_30
66,dont let that dog go,त्या कुत्र्याला सोडू नका,[[-0.5024 -0.0671  0.6294 ...  0.259   0.154  -0.289 ]],[[0.134   0.2289  0.2153  ... 0.01542 0.3098  0.2311 ]],[[ 0.00752  0.0331  -0.3254  ... -0.0975  -0.5054  -0.377  ]],[[ 0.815   1.704  -0.3003 ...  1.021  -0.2018  0.463 ]],[[-0.2712  0.3813 -0.716  ...  0.786  -0.8467 -0.534 ]],[[ 0.0523  1.003  -0.517  ...  0.747  -0.4626  0.532 ]],[[ 0.116   0.7676 -0.975  ...  1.725  -2.02   -0.8726]],[[-1.67    0.783  -0.5254 ...  1.527   0.431   1.901 ]],[[ 1.41    1.162  -0.7236 ...  0.5576 -1.603  -0.642 ]],[[-0.4458  1.408  -0.6606 ...  1.693  -0.2832  1.099 ]]
67,tom ignored mary,टॉमने मेरीला दुर्लक्ष केलं,[[-0.715   -0.991    0.1385  ...  0.836    0.988   -0.05518]],[[ 0.0645  0.113   0.4038 ... -0.0851 -0.1144  0.4502]],[[-0.3208 -0.961  -0.4202 ...  0.4248  0.751   0.1455]],[[-0.1351  0.2944  0.331  ... -0.73    0.132   0.4658]],[[-0.6357 -0.883   0.2    ...  0.1493  1.143  -0.1752]],[[ 0.964  -0.201  -0.5156 ... -0.5127  0.439   0.5254]],[[-2.61    -0.948    0.3398  ...  0.03503  2.674   -0.674  ]],[[ 0.04877 -0.5703  -0.699   ... -0.1433   1.201    0.301  ]],[[-1.788   -0.05225 -0.334   ... -0.264    0.4187   0.01416]],[[ 0.1969   -0.2433    1.369    ... -0.1305    1.293     0.005913]]
68,its pretty new,अगदी नवीन आहे,[[-0.4685  0.295   0.0358 ... -0.785  -0.2783  0.393 ]],[[ 0.1866    0.08484   0.011475 ... -0.0962   -1.272     0.537   ]],[[-0.5312 -0.0713  0.3853 ... -0.655  -0.1165  1.427 ]],[[ 0.5293  -0.1721  -0.579   ...  0.01953 -0.63     1.23   ]],[[-1.277   0.2118  0.946  ... -0.527  -0.3367  1.595 ]],[[ 0.07465 -0.743    0.609   ...  0.1677  -0.4692   1.508  ]],[[-1.122    1.514    0.2878  ...  0.05746 -0.84     1.555  ]],[[-1.06   -0.661  -0.121  ...  0.2793  0.072   3.148 ]],[[-1.557   2.332  -0.754  ... -0.3286 -1.406   0.7905]],[[ 0.6045 -0.0637  1.788  ... -0.3447 -0.3616  1.022 ]]
69,its here,ते इथं आहे,[[-0.751   0.4272  0.2029 ...  0.2935 -0.2427  0.2876]],[[ 0.013214  0.1913    0.3882   ...  0.2861   -0.7314    0.7246  ]],[[-1.231  -0.502   0.6577 ...  0.2534 -0.4478  0.6055]],[[ 0.2986  0.6606 -0.389  ...  0.0656 -0.4985  1.201 ]],[[-2.105   -0.4282   0.6675  ...  0.02783 -0.9316   1.178  ]],[[ 0.03644  0.2944  -0.5044  ... -0.2202  -0.7485   0.836  ]],[[-3.268  -0.608  -0.2861 ...  0.7783  0.1069  2.086 ]],[[ 0.0895  0.2473 -1.514  ...  0.5635 -0.1987  1.469 ]],[[-1.544   0.7397 -2.195  ... -1.465  -1.297   2.281 ]],[[ 0.1697  0.0603 -0.2264 ...  1.014   0.958   0.934 ]]
70,its junk throw it away,तो कचरा आहे फेकून द्या,[[-0.148  -0.0659  0.339  ... -0.1034 -0.1738  0.3418]],[[ 0.03406 -0.1598  -0.3176  ... -0.1637  -0.3408   0.313  ]],[[ 0.4465 -0.1702 -0.3003 ...  0.3252 -0.4624  1.345 ]],[[ 0.278    0.6216  -0.7197  ...  0.01953 -0.861    1.068  ]],[[-0.6685  0.1757 -0.2415 ...  0.1274 -0.4028  1.471 ]],[[-0.2463  0.3347 -0.2847 ...  0.1462 -0.8486  1.176 ]],[[-0.7407 -0.1438 -0.5234 ...  1.166   0.588   2.596 ]],[[-1.572  -0.2124 -1.041  ...  1.342  -0.1265  2.016 ]],[[-0.9727  0.799  -1.504  ...  0.5107 -0.0786  2.309 ]],[[-0.7583  0.4497 -0.1918 ...  1.46    0.2556  0.753 ]]
71,what hospital is tom in,टॉम कोणत्या रुग्णालयात आहे,[[-0.678    0.2773  -0.03397 ... -0.1785   0.4006  -0.03317]],[[ 0.08356  0.47     0.1678  ...  0.4158  -0.5347   0.541  ]],[[-0.949    0.03207  0.2306  ... -0.4707   0.9614   0.3372 ]],[[ 0.3948   0.2397   0.5303  ... -0.54     0.03085  0.897  ]],[[-0.7783  -0.2644   0.1819  ...  0.04083  0.895    0.871  ]],[[ 1.689   -0.3076   0.02705 ... -0.1299  -0.5215   0.5825 ]],[[-1.353   -1.162   -0.11804 ...  0.5874   1.532    0.4038 ]],[[-0.2195 -1.293  -1.788  ...  0.1394  0.9253  1.063 ]],[[-1.451  -0.7935 -1.509  ... -2.129   1.059   0.798 ]],[[-0.669  -0.4043  0.826  ...  0.8833  0.3467  0.2004]]
72,i signed the contract,मी करारावर सही केली,[[ 0.1335  -0.2328   0.3003  ...  0.348    0.0393   0.09326]],[[-0.3413 -0.6753 -0.1669 ... -0.1752 -0.42    0.519 ]],[[0.8384 0.2524 0.2339 ... 0.2386 0.4185 0.544 ]],[[-0.17    0.4143 -0.3877 ...  0.2188 -0.3071  0.7114]],[[ 1.162    0.03174  0.868   ... -0.04712  0.664    0.672  ]],[[-0.1617  0.571  -0.2673 ...  0.2954 -0.2006  0.845 ]],[[ 1.699  -0.7705  2.139  ...  1.076   1.691   2.77  ]],[[-0.578  -0.1945 -0.6904 ...  1.214   0.2391  1.668 ]],[[ 1.066  1.303  1.129 ... -1.135 -0.644  1.427]],[[0.05145 0.452   0.704   ... 0.13    0.3892  1.223  ]]
73,we stayed in boston for a few weeks,आम्ही काही आठवडे बॉस्टनमध्ये राहिलो,[[-0.2347  0.497   0.649  ... -0.265   0.58    0.137 ]],[[-0.1703  0.3857 -0.0901 ... -0.0636 -0.3293  0.4553]],[[ 0.2954  0.2098  0.4756 ... -0.5703  0.476   0.6567]],[[-0.3533   0.9736  -0.1434  ... -0.2018  -0.08734  0.0989 ]],[[ 0.5327 -0.2338  0.4185 ... -0.5806 -0.0716  0.972 ]],[[-0.1527  0.3364 -0.2023 ...  0.6777 -0.362   0.3513]],[[0.1147  0.03876 0.696   ... 0.2805  0.138   1.326  ]],[[-0.4026   0.5547  -1.793   ...  1.034    0.234   -0.02364]],[[-0.1765   0.943    0.06805 ... -1.023    1.087    2.041  ]],[[ 1.488   0.4265 -0.7896 ...  0.5923  1.765  -0.998 ]]
74,why is the door open,दार उघडं का आहे,[[ 0.1481   0.2993  -0.04257 ...  0.2153   0.2428   0.0385 ]],[[-0.2137   0.1653   0.05103 ... -0.163   -0.441    0.0786 ]],[[ 0.2651   0.385    0.11664 ... -0.4204   0.5957   0.4102 ]],[[ 0.8984  0.1652 -0.5674 ... -0.4438 -0.4985  0.4717]],[[ 0.2874    0.4658   -0.006836 ... -0.10236   0.5454    0.4058  ]],[[ 1.124   0.1621 -0.1436 ... -0.2812 -0.3357  0.69  ]],[[-0.4624 -0.1043  0.7285 ...  0.4543  1.792   0.1229]],[[-1.125   -0.0944  -0.7656  ... -0.04257  0.0695   0.775  ]],[[ 0.1865  0.6626  0.2351 ...  0.2854  0.7793 -0.1813]],[[ 0.5195  -0.5415   1.192   ...  1.016   -1.445    0.08594]]
75,i dont understand how he can speak with a cigarette in his mouth,तोंडात सिगरेट धरून तो कसा बोलू शकतो मला समजतच नाही,[[-0.3748 -0.1299 -0.0819 ...  0.1464 -0.0876  0.0796]],[[ 0.267    0.1484   0.04178 ...  0.3076   0.0622  -0.1388 ]],[[ 0.07684 -0.1989  -0.1763  ...  0.0261   0.237    0.1785 ]],[[ 0.505    0.494   -0.3352  ...  0.01067 -0.255    0.1791 ]],[[-0.5312  -0.09784  0.1709  ... -0.03812  0.195    0.02048]],[[ 0.03915  0.3694  -0.464   ... -0.2122  -0.3289   0.1306 ]],[[-0.3564 -0.6445 -0.2705 ...  1.31    1.591   0.5005]],[[-1.342    0.03073 -2.191   ...  0.10095 -0.662    0.687  ]],[[-0.11664  0.7627  -0.0146  ...  0.246   -0.04263  0.4016 ]],[[-0.7705  1.151  -1.205  ...  0.3748 -0.95   -1.145 ]]
76,are you feeling ok,बरं वाटतंय का,[[ 0.3667   0.2732   0.4773  ...  0.04572 -0.01807  0.00824]],[[-0.391    0.461    0.01982 ... -0.1646   0.1359   0.2874 ]],[[ 0.1245  -0.00836  0.923   ...  0.5967   0.1202   1.222  ]],[[ 1.141    0.3982  -0.4792  ...  0.05215 -0.3975   0.76   ]],[[ 0.1814 -0.5093  0.1653 ...  0.214  -0.1205  1.721 ]],[[ 1.125   0.1461 -0.633  ... -0.1387 -0.4878  0.8755]],[[-0.684  -0.3613  0.968  ...  0.8584 -0.8506  3.562 ]],[[ 0.902  -0.3035 -1.605  ... -0.562  -0.7017  1.82  ]],[[-0.6074  1.02    0.588  ... -0.76   -1.93    1.876 ]],[[ 1.012   0.2737  0.2632 ...  0.8047 -0.573   0.128 ]]
77,we cant do it,आपण ते नाही करू शकत,[[-0.2119  0.5127  0.753  ... -0.1387  0.2454 -0.1571]],[[ 0.4207  0.264  -0.1671 ...  0.404  -0.2563 -0.1041]],[[ 0.325   0.0996  0.579  ... -0.5615  0.618  -0.2388]],[[-0.1652  0.8823 -0.6245 ...  0.4077 -0.2136 -0.2465]],[[ 0.8184 -0.623   0.4707 ... -0.9316  0.375   0.2217]],[[-0.2532   0.04932 -0.6772  ... -0.02559 -0.2783   0.03207]],[[ 0.504  -1.414   0.636  ... -0.2212  1.196   0.772 ]],[[-1.204   -0.4976  -1.51    ...  0.06964 -0.777    0.769  ]],[[-0.2203 -0.282  -0.4553 ... -0.8774  0.584   1.483 ]],[[ 1.394  -1.293   1.09   ...  1.082   0.557  -0.2527]]
78,im trying to keep you alive,मी तुला जिवंत ठेवायचा प्रयत्न करत आहे,[[ 0.12384 -0.0966   0.4346  ...  0.3525  -0.0869   0.519  ]],[[-2.148e-02  9.558e-02  4.654e-04 ...  3.506e-02 -1.403e+00 -1.230e-02]],[[ 0.0905  -0.05722  0.4397  ...  0.0694   0.11554  0.753  ]],[[-0.1401   1.145   -0.4146  ...  0.6216  -0.72    -0.06836]],[[-0.4556 -0.4595  0.7134 ... -0.2313  0.3674  1.472 ]],[[ 0.07043  0.696   -0.378   ...  0.4546  -0.3787   0.979  ]],[[-2.19   -1.209   0.3147 ...  0.8306  1.08    2.256 ]],[[-0.6465  0.9756 -1.041  ...  0.4497 -0.1857  1.868 ]],[[-1.315   -0.4822  -0.04892 ...  0.1242   0.02551  0.9683 ]],[[-0.337   0.8076  2.742  ...  0.6504 -0.3606  0.4165]]
79,everybody wants to sit beside her,सर्वांनाच तिच्या बाजूला बसायचं आहे,[[-0.1982  -0.2194   0.2488  ... -0.4114   0.02512  0.1277 ]],[[-0.1842   0.523    0.546   ... -0.073   -0.4172  -0.10077]],[[ 0.528   -0.2656   0.09814 ... -0.8057   0.07794  0.822  ]],[[-0.252   0.736  -0.2944 ...  0.2338 -0.301   0.1738]],[[ 0.2113 -0.2605 -0.1857 ... -0.729   0.1884  1.773 ]],[[-0.00755  0.4104  -0.4312  ...  0.3467  -0.2556   0.0587 ]],[[ 1.151   -0.7007  -1.142   ... -0.515   -0.09125  2.496  ]],[[-1.77   -0.658  -1.509  ...  0.942   0.7393  0.782 ]],[[ 0.6196 -0.388  -1.809  ... -0.8657  0.1622  1.2705]],[[-0.6855 -0.1948  0.2808 ...  1.191   0.545  -0.531 ]]
80,he is ready to learn anything from anybody,तो कोणाकडूनही काहीही शिकायला तयार आहे,[[0.285   0.08435 0.2135  ... 0.2314  0.0633  0.2053 ]],[[ 0.2462   0.05447 -0.3596  ... -0.7275  -0.5483   0.6333 ]],[[ 0.4028  -0.01733 -0.2463  ... -0.0713  -0.1587   0.4658 ]],[[ 0.03232  0.34    -0.957   ... -0.2896  -0.9785   1.235  ]],[[ 0.1841 -0.423   0.1288 ...  0.4453 -0.1489  0.0702]],[[-0.446    0.353   -0.8374  ... -0.06995 -1.451    0.7964 ]],[[-0.694    -0.9463    0.6333   ...  0.001617 -0.3196    0.6533  ]],[[-2.207   -0.2915  -0.8896  ...  0.00955 -0.9424   0.832  ]],[[-0.4277   0.6245  -0.4402  ... -1.191   -0.08875  0.27   ]],[[-1.906    0.505    0.8677  ...  0.02496 -1.193   -1.276  ]]
81,superman can see through walls,सुपरमॅन भिंतींतून बघू शकतो,[[ 0.0775   0.3113   0.392   ... -0.09546  0.1891   0.1395 ]],[[ 0.1459  0.3914 -0.2037 ... -0.2122  0.25    0.3477]],[[-0.05338  0.1192  -0.2717  ... -1.153    0.7607   0.7974 ]],[[ 0.3438   0.4236  -0.278   ... -0.09467 -0.2125   0.677  ]],[[-0.1521 -0.1881 -0.303  ... -1.119   1.148  -0.0502]],[[ 0.5723  -0.06094 -0.651   ... -0.10126 -0.8745   0.6196 ]],[[ 0.675    0.0514  -1.174   ... -0.07697  1.693    0.4912 ]],[[-0.03253 -0.8657  -1.841   ... -0.1547  -1.821    1.88   ]],[[ 0.9746  0.4692 -2.6    ... -0.856   0.4707  0.7607]],[[ 0.9688  -0.859    0.8906  ...  0.03986 -0.4084   0.467  ]]
82,tom doesnt eat pork,टॉम सुकरमांस खात नाही,[[-0.1754  -0.74     0.618   ...  0.04086  0.4087  -0.1582 ]],[[ 0.3032  -0.1857   0.0669  ...  0.1443   0.03143  0.7275 ]],[[ 0.853  -0.3105  0.2301 ... -0.5635  0.4531 -0.0404]],[[ 0.3071  0.1838 -0.4194 ... -0.58   -0.2917  0.6353]],[[ 1.203  -0.815   0.475  ... -0.635   0.929   0.4768]],[[-0.00992  0.01581 -0.4788  ...  0.10516 -0.8887   0.6978 ]],[[ 0.4177 -2.549   0.593  ...  0.5405  2.258   0.2622]],[[-0.696   0.463  -2.207  ... -0.522  -0.5913  0.9507]],[[-1.026  -0.674   0.338  ... -0.3857  1.5205  0.3213]],[[-0.529     0.8975   -0.3936   ... -1.359     0.0996   -0.007614]]
83,this book contains a lot of photos,या पुस्तकात भरपूर फोटो आहेत,[[-0.1235   0.161    0.4292  ...  0.1261   0.1654   0.12463]],[[ 0.2107  0.3047  0.2063 ...  0.3652 -0.0848  0.2712]],[[ 0.1004  0.3638  0.1251 ... -0.8223 -0.1405 -0.1117]],[[ 0.4456   0.9473  -0.3147  ...  0.3362  -0.552    0.12305]],[[-0.4563  0.619   0.2712 ... -1.307  -0.3662  1.038 ]],[[ 0.024    0.8154   0.1359  ...  0.058   -0.493   -0.08673]],[[-0.3723  1.007  -0.4805 ... -1.573  -1.101   1.861 ]],[[-1.877    0.7773  -1.058   ...  1.014   -0.76     0.11914]],[[-0.368  1.428 -2.123 ... -2.58   0.441  1.128]],[[-0.03078 -0.282    0.2357  ...  0.248    1.07    -0.0997 ]]
84,i hear that tom isnt in boston now,मी ऐकलंय की टॉम आता बॉस्टनमध्ये नाहीये,[[-0.1293  0.27    0.5127 ...  0.2668  0.0636  0.2695]],[[ 0.2013  -0.0438   0.08093 ... -0.2059  -0.3105   0.6636 ]],[[-0.3118   0.01804  0.4966  ... -0.09546  0.4768  -0.099  ]],[[ 0.7866  0.553   0.1869 ...  0.1619 -0.0471  0.918 ]],[[-0.4053 -0.4844  0.4126 ... -0.297   0.3665 -0.0525]],[[ 0.8394   0.06445 -0.1133  ...  0.611   -0.3218   0.915  ]],[[-0.3252 -0.4316  0.0917 ...  0.455   1.228  -0.2363]],[[ 0.12067 -0.1971  -0.519   ...  0.2184  -0.4893   1.378  ]],[[-0.701   0.7236 -0.699  ... -0.972   0.3252  0.4597]],[[-0.2462    0.3916    1.66     ... -0.006744  0.1444    0.11285 ]]
85,i have a few questions about toms operation,टॉमच्या ऑपरेशनबद्दल माझ्याकडे काही प्रश्न आहेत,[[-0.146   0.1355  0.0961 ...  0.23    0.1594  0.1702]],[[-0.1836   0.04263  0.03818 ...  0.453   -0.227    0.374  ]],[[-0.1832  0.1464  0.068  ... -0.3328  0.4563  0.2008]],[[-0.4429   0.585   -0.04327 ... -0.01785  0.4678   0.1964 ]],[[-0.2489  -0.812   -0.4087  ... -0.598    0.12146  0.617  ]],[[-0.1394  -0.2354  -0.5776  ...  0.1825   0.3333   0.00757]],[[-0.752   -1.142   -0.00822 ... -0.8135   0.4111   1.199  ]],[[-1.7     -0.1008  -1.407   ...  0.06665  1.352    0.454  ]],[[-0.8447  0.7     0.2052 ... -0.946   0.4517  0.3528]],[[-0.0755  0.382   1.485  ... -0.2333  0.959  -0.4368]]
86,they are eating a sandwich,त्या सँडविच खात आहेत,[[ 0.24    0.2756  0.3098 ... -0.2002 -0.1527  0.2927]],[[ 0.0927  0.1962  0.1787 ...  0.273  -0.3838  0.9585]],[[1.464  0.496  0.1621 ... 0.1976 0.1914 0.962 ]],[[ 0.4485  0.7407 -0.51   ...  0.4272  0.0383  1.609 ]],[[1.163e+00 1.221e-04 2.026e-01 ... 6.113e-01 3.774e-01 1.345e+00]],[[ 0.4124   0.3088  -0.7007  ...  0.9634   0.01842  1.751  ]],[[ 2.488  -0.711  -0.1707 ...  1.793   0.645   2.016 ]],[[-0.1787  0.485  -1.214  ...  0.7715 -0.3372  2.049 ]],[[ 0.8965 -0.3818  0.369  ... -0.4807  1.046   1.026 ]],[[ 0.01172  1.891    1.465   ...  0.4136  -0.7886   1.308  ]]
87,tom was also there,टॉम ही तिकडे होता,[[-0.12415 -0.1339   0.148   ...  0.3955   0.3215  -0.2004 ]],[[ 0.0266 -0.274   0.562  ...  0.9478  0.2094  0.252 ]],[[ 0.6025 -0.2488 -0.241  ... -0.2017 -0.2725  0.5605]],[[ 0.1831   -0.08      0.005047 ...  0.65      0.1853    0.5527  ]],[[ 0.474  -0.4126  0.2722 ...  0.1343  0.266   0.0541]],[[ 0.4617 -0.2461 -0.411  ...  1.027   0.2068  0.8926]],[[ 0.4395 -0.707  -0.7773 ...  0.868   0.5947  0.68  ]],[[ 0.1425 -0.5083 -2.424  ...  0.9805  0.2241  0.969 ]],[[-0.752   0.4    -0.6123 ... -1.446   0.4536 -0.3213]],[[-0.11884 -1.258   -0.2253  ...  0.2744   0.4302  -0.05356]]
88,i used to play here,मी इथे वाजवायचो,[[-0.271    0.03418  0.1749  ...  0.2106  -0.388    0.1819 ]],[[ 0.398  -0.3691 -0.1016 ... -0.813  -0.6123  0.9307]],[[ 0.2092 -0.0402  0.3206 ... -0.0804 -0.2064  0.507 ]],[[ 1.359   0.655  -0.7197 ... -0.569  -0.5693  1.517 ]],[[ 0.3672 -0.6094  0.662  ... -0.546  -0.5493  1.058 ]],[[ 1.787   0.0481 -1.16   ... -0.3174 -0.9497  1.839 ]],[[ 1.035  -0.823   1.02   ... -0.1509 -0.0957  2.066 ]],[[ 1.432   0.2766 -1.602  ... -0.1436 -2.057   2.457 ]],[[-0.4436  1.272   0.569  ... -0.8755 -0.656   0.834 ]],[[ 0.897    0.916   -1.287   ...  0.05087 -0.426    0.74   ]]
89,i should have said something,मी काहीतरी म्हणायला हवं होतं,[[-0.1013  -0.4312   0.2312  ...  0.2747  -0.09247  0.3994 ]],[[ 0.5044   0.05167  0.05746 ... -0.4255  -0.1898   0.7197 ]],[[-0.447   -0.10675  0.06537 ... -0.2769   0.11145  0.4321 ]],[[ 0.9233  0.4917 -0.3389 ...  0.4443 -0.358   0.485 ]],[[-1.288   -0.9023   0.8643  ... -0.724   -0.06616  0.504  ]],[[ 0.3013   0.2083  -0.513   ...  0.4924   0.04245 -0.1967 ]],[[-3.057  -1.418   1.801  ... -0.4011  0.8765  1.336 ]],[[-0.6304   0.05545 -1.397   ...  0.2717   0.2377   0.3125 ]],[[-1.681    0.04767 -0.08936 ... -0.9824  -0.11914  0.9487 ]],[[-0.715    1.288    2.691   ...  0.2311   0.4128   0.01394]]
90,what did you buy,तू काय विकत घेतलंस,[[ 0.0199  -0.06726  0.04102 ...  0.1316  -0.176   -0.2969 ]],[[ 0.6885  0.5522  0.0886 ... -0.0933 -0.1953  0.7236]],[[ 0.1886   0.04614 -0.01721 ...  0.0249   0.08777  0.7246 ]],[[ 1.212    0.991   -0.2056  ... -0.04868 -0.835    1.496  ]],[[-0.4407   0.61     0.02246 ... -0.0903  -0.578    1.598  ]],[[ 1.468   0.5513 -0.434  ...  0.2622 -1.219   1.981 ]],[[-1.2705 -0.571   0.6973 ...  1.464  -0.698   2.795 ]],[[ 0.4626  0.872  -1.368  ... -0.5303 -1.376   2.443 ]],[[-0.6997 -0.4592 -0.8076 ... -0.0645 -0.301   1.399 ]],[[-0.4895  1.619   3.06   ...  0.6895 -0.764   1.498 ]]
91,sometimes i say yes even though i want to say no,कधीकधी मला नाही म्हणायचं असतं तरीही मी हो म्हणते,[[-1.040e-01 -2.348e-02  3.657e-01 ... -2.810e-01  3.704e-01  2.885e-04]],[[-0.3958   0.1255  -0.1302  ... -0.05658 -0.4705  -0.5103 ]],[[ 0.705  -0.8823  0.162  ... -0.9614  0.4475  0.2732]],[[-0.1388  0.1095 -0.5557 ...  0.1096 -0.1719 -0.141 ]],[[ 0.4387  -0.765    0.1458  ... -1.021   -0.04758  1.559  ]],[[ 0.446   -0.1732  -0.3171  ... -0.10547 -0.554    0.2598 ]],[[ 1.405  -1.2     0.746  ... -1.488   0.2418  3.748 ]],[[-0.4768  0.5215 -1.045  ...  0.117  -1.171   0.895 ]],[[ 0.8936 -0.385  -0.1783 ... -1.546   0.3796  2.44  ]],[[ 1.037     2.062     0.9995   ...  0.485    -0.006073 -0.3386  ]]
92,ill go tell everybody,मी जाऊन सगळ्यांना सांगतो,[[-0.6416 -0.5215 -0.0293 ... -0.2311  0.2205 -0.262 ]],[[ 0.0733  -0.1997   0.257   ...  0.4019   0.05392  0.4104 ]],[[-0.66    -0.5      0.01474 ... -0.88     0.1005   0.721  ]],[[ 0.5337  0.6895  0.07   ...  0.3347 -0.192   1.088 ]],[[ 0.00891 -1.011   -0.1982  ... -1.23    -0.5015   0.289  ]],[[ 0.667    0.367   -0.2052  ...  0.01416 -0.47     0.8984 ]],[[-0.3628 -0.3203 -0.1603 ... -1.059  -1.566   2.658 ]],[[-0.745     0.010826 -1.564    ...  0.257    -0.3965    2.46    ]],[[ 0.5103  0.2246 -1.114  ... -2.352  -2.045   2.54  ]],[[ 0.3623  0.3306 -0.4976 ...  0.753   0.1608  1.103 ]]
93,the boy fell from the bridge,तो मुलगा पुलावरून पडला,[[-0.3474  0.1659  0.6724 ... -0.3618  0.3328  0.1958]],[[-0.0538   0.2585   0.04337 ...  0.10693  0.312    0.3057 ]],[[ 0.10345 -0.09393  0.1486  ... -1.007    0.484    0.579  ]],[[-0.006298  0.6904   -0.4841   ... -0.2644    0.07117   0.738   ]],[[ 0.4724 -0.4424  0.3313 ... -0.9316  0.6626  0.836 ]],[[ 0.546   0.2109 -0.644  ... -0.687  -0.1327  0.532 ]],[[-0.5737 -2.168   1.54   ... -1.034   0.509   2.041 ]],[[ 0.237  -0.803  -1.732  ... -0.6543  0.3098  0.8896]],[[ 0.9585 -0.564   0.1475 ... -1.826   0.9004  0.404 ]],[[ 0.799  -0.653  -1.233  ... -1.276  -1.182   0.8765]]
94,do you like swimming in the ocean,तुम्हाला समुद्रात पोहायला आवडतं का,[[ 0.2156   0.4563   0.3523  ... -0.06192  0.087    0.3052 ]],[[-0.01285 -0.5796   0.0895  ... -0.3096   0.417    0.8647 ]],[[ 0.6865   -0.07385   0.3818   ...  0.015274  0.5757    0.8867  ]],[[ 0.711    0.6147  -0.1909  ... -0.08813  0.3704   1.009  ]],[[ 1.359  -0.529   0.542  ... -0.0646  0.622   1.092 ]],[[ 0.9604   0.519   -0.3457  ...  0.09595  0.1553   0.733  ]],[[ 1.664   -1.55     1.219   ... -0.10895  1.024    0.6    ]],[[-0.7065 -0.2588 -1.7    ... -0.2332  0.336   0.8145]],[[ 0.157   0.4626 -1.08   ... -0.945   1.241   0.1998]],[[-1.486   0.4204 -1.448  ...  0.5728  0.9795  0.7417]]
95,tom stood up and looked around,टॉम उभा झाला आणि त्याने आजूबाजूला बघितलं,[[ 0.1346  -0.4333   0.424   ... -0.05533  0.439    0.3782 ]],[[-0.001493  0.2338    0.201    ...  0.2598    0.02579   0.4797  ]],[[ 0.07764 -0.5215   0.03397 ... -0.7827   0.146    0.7744 ]],[[ 0.0502   0.7344   0.2068  ... -0.10645  0.3018   0.7437 ]],"[[-3.3813e-01 -8.1360e-05  5.0049e-01 ... -1.1396e+00  1.1045e+00
   1.7761e-01]]",[[ 0.4963   0.855   -0.4045  ...  0.4856   0.07086  0.6626 ]],[[-1.305   0.959   0.0179 ... -2.066   1.879   1.23  ]],[[-0.3003  1.196  -1.007  ...  0.7935  0.56    0.6963]],[[-1.046   1.091  -0.7793 ... -2.408   1.066   0.5645]],[[0.412    1.897    0.765    ... 0.005756 0.6465   0.4663  ]]
96,do you consider yourself a good guitarist,तुम्ही स्वतःला चांगले गिटारिस्ट मानता का,[[ 0.2744   0.1483   0.0778  ...  0.2299  -0.06525  0.1686 ]],[[ 0.0342   0.1486   0.2373  ... -0.1428  -0.02919  0.08716]],[[ 0.6523   0.03568  0.1792  ...  0.2417  -0.3904   0.8813 ]],[[ 0.7407  0.2305  0.4053 ...  0.733  -0.1647  0.9736]],[[ 0.3674 -0.774   0.3728 ...  0.146  -0.8735  1.17  ]],[[ 0.539   -0.424   -0.07007 ...  0.523   -0.92     0.9243 ]],[[ 0.03348 -1.396    0.706   ...  0.635   -3.297    1.68   ]],[[-0.783  -0.718  -0.4558 ...  0.277  -1.861   1.144 ]],[[ 0.2378  0.2465 -0.8145 ... -0.5186 -2.502   0.8516]],[[ 1.265  -0.31    2.037  ...  0.4878 -1.915   0.2842]]
97,i wasnt asking for your opinion,मी तुमचं मत विचारत नव्हतो,[[-0.1793  0.0732  0.0904 ...  0.3179  0.1732  0.1597]],[[-0.1431   0.0917   0.382   ...  0.2556  -0.455    0.01566]],[[ 0.1249  -0.1958   0.05746 ... -0.4683   0.92     0.06088]],[[-0.1643   0.4814  -0.05624 ...  0.6616  -0.1748   0.5454 ]],[[ 0.3945  -0.316    0.205   ... -0.409    1.245    0.02365]],[[-0.04202 -0.0945  -0.649   ...  0.0607   0.05515  0.545  ]],[[ 0.2477 -0.4836  0.4211 ... -0.559   2.676  -0.2686]],[[-0.6143  0.5537 -1.633  ... -0.1289 -1.074   1.247 ]],[[-0.443    0.575   -0.1715  ... -0.8325   0.5693  -0.06094]],[[-0.899   1.158   0.8096 ...  1.035  -0.2815  0.2734]]
98,life is strange,आयुष्य हे विचित्र असतं,[[ 0.0661  0.1696  0.335  ... -0.9976  0.4578 -0.3523]],[[-0.2634   0.11646 -0.3916  ... -0.4397  -0.0726   0.8384 ]],[[ 0.4016    0.475    -0.006348 ... -2.172     0.295     0.41    ]],[[-0.2166  0.597  -0.615  ...  0.1715  0.534   1.251 ]],[[ 1.068  -0.5146  0.8237 ... -1.631   0.4878  0.8276]],[[ 0.00908  0.523   -0.853   ... -0.2896   0.0719   1.254  ]],[[ 0.8784  0.2754  0.8057 ... -0.4014  1.569   1.66  ]],[[-1.795   0.5493 -1.641  ...  0.4424  0.5337  2.252 ]],[[-0.1743   0.03044 -1.8125  ... -1.472    0.52     0.7114 ]],[[-1.208    0.08374  1.479   ...  0.981    1.189    0.2358 ]]
